Designator,Mid X,Mid Y,Layer,Rotation
C1,-29.32,13.56,Top,270.0
C2,-27.29,13.56,Top,270.0
C3,19.82,-8.63,Top,270.0
C4,17.18, 9.66,Top,0.0
C5,31.68,21.31,Top,180.0
C6,-9.22,-25.91,Top,180.0
C7,14.25,-8.10,Top,270.0
C8,35.09,-31.12,Top,90.0
C9,-26.67,-24.77,Top,90.0
C10, 4.80,-27.03,Top,270.0
C11, 1.45,-27.98,Top,0.0
C12, 3.25,-26.42,Top,270.0
C13,-5.11,-17.30,Top,270.0
C14,-7.65,-17.30,Top,270.0
C15,-12.73,-24.33,Top,270.0
C16,-12.73,-17.30,Top,270.0
C17,-10.19,-17.30,Top,270.0
C21,-26.55,-12.18,Top,270.0
C24,-25.40,-24.77,Top,90.0
C27,-30.64,-14.08,Top,270.0
C28,17.31,-4.59,Top,0.0
C29,17.31,-2.56,Top,0.0
C30,16.98,-1.01,Top,0.0
C31,19.12, 7.93,Top,0.0
C32,17.34,13.98,Top,0.0
C33,17.34,11.92,Top,0.0
D1,22.59,-8.34,Top,270.0
D4,16.47,-8.33,Top,270.0
D5,-27.13,-9.53,Top,0.0
IC1,31.12,-31.12,Top,0.0
IC2,-22.26,25.49,Top,90.0
IC3,-0.30,-25.17,Top,90.0
IC5,17.41, 2.04,Top,270.0
IC6,19.81,27.66,Top,270.0
J4,-0.30,-31.89,Top,0.0
L1,-28.59,-12.29,Top,90.0
L2,16.47, 6.91,Top,270.0
POWER,10.56,-26.16,Top,0.0
Q1,-5.66,-25.27,Top,270.0
R1,-5.66,-27.08,Top,180.0
R2,-9.22,-26.97,Top,0.0
R3,-5.66,-23.47,Top,0.0
R4,-6.45,-33.78,Top,270.0
R5, 5.94,-33.78,Top,270.0
R6, 8.05,-26.16,Top,0.0
R7,33.24,13.96,Top,90.0
R11,17.91,27.21,Top,90.0
R13,-5.11,-20.32,Top,90.0
R14,-7.65,-20.32,Top,90.0
R15,-12.73,-20.32,Top,90.0
R16,-10.19,-20.32,Top,90.0
R26,19.67, 2.83,Top,90.0
R29,-19.51,-9.22,Top,90.0
R30,-18.47,-9.22,Top,90.0
R31,19.12, 6.86,Top,0.0
R32,19.12, 5.80,Top,180.0
RESET,-9.53,-34.93,Top,90.0
SD_CARD,28.98,27.79,Top,90.0
U1,-31.12,-31.12,Top,180.0
C18,-24.03,16.43,Bottom,270.0
C19,-24.03,11.91,Bottom,90.0
C20,-24.13,-9.32,Bottom,90.0
C22,-15.89,-6.98,Bottom,0.0
C23,-15.91,-8.51,Bottom,0.0
C26,-19.96,-9.32,Bottom,270.0
IC4,-20.51,-4.85,Bottom,180.0
J1,18.47,20.80,Bottom,270.0
J2,-15.93,-21.08,Bottom,270.0
Q4,-26.95,-10.44,Bottom,90.0
R8,-27.46,-12.80,Bottom,0.0
R10,-27.46,-13.84,Bottom,0.0
R17,-22.99,16.43,Bottom,90.0
R18,-22.99,18.26,Bottom,270.0
R19,-22.99,10.08,Bottom,90.0
R20,-22.99,11.91,Bottom,270.0
R22,-15.80,-3.84,Bottom,0.0
R23,-15.80,-4.88,Bottom,0.0
R24,-18.38,-1.09,Bottom,90.0
R25,-21.01,-9.32,Bottom,270.0
R27,-23.09,-9.32,Bottom,90.0
R28,-22.05,-9.32,Bottom,90.0
R42,-23.88,-18.16,Bottom,0.0
R43,-23.88,-19.20,Bottom,0.0
TR1,-17.06,14.17,Bottom,270.0
X1, 0.0,16.76,Bottom,180.0
X2,18.41, 0.00,Bottom,90.0
